,timestamp,open,high,low,close,volume,RSI_14,sma_7,RSI_Trend,ub,mb,lb,ub_tren,lb_tren,3_ub_point,3_lb_point,divergence_angle,divergence_col
29,2020-04-23 14:15:00,1373.95,1375.0,1366.05,1369.35,678172,63.016927246258206,1370.394285714286,-3.6608606206718832,1378.1644977591259,1366.3649999999996,1354.5655022408732,-1.0,4.0,"1379.6970121574711,1379.647758577289,1378.1644977591259","1348.2619878425278,1350.9072414227103,1354.5655022408732",13.255984403554692,
28,2020-04-23 14:30:00,1369.91,1375.48,1367.87,1373.61,663153,64.95686522778034,1371.624285714286,1.9399379815221351,1378.9374928512214,1366.9929999999997,1355.048507148778,1.0,0.0,"1379.647758577289,1378.1644977591259,1378.9374928512214","1350.9072414227103,1354.5655022408732,1355.048507148778",30.018376349415348,divergence
27,2020-04-23 14:45:00,1373.5,1374.0,1366.05,1372.8,647875,64.26657753578725,1371.124285714286,-0.6902876919930918,1378.443222132055,1366.8554999999997,1355.2677778679442,-0.0,0.0,"1378.1644977591259,1378.9374928512214,1378.443222132055","1354.5655022408732,1355.048507148778,1355.2677778679442",8.58078889829818,
26,2020-04-23 15:00:00,1372.6,1372.85,1366.5,1370.5,1112139,62.24388774157152,1371.1314285714288,-2.0226897942157294,1378.7805906119481,1367.2259999999997,1355.6714093880512,0.0,0.0,"1378.9374928512214,1378.443222132055,1378.7805906119481","1355.048507148778,1355.2677778679442,1355.6714093880512",5.637515454535247,
25,2020-04-23 15:15:00,1370.3,1374.5,1370.0,1370.9,1381871,62.46514407062434,1371.6157142857144,0.2212563290528209,1377.9934150406878,1368.0509999999997,1358.1085849593117,-1.0,2.0,"1378.443222132055,1378.7805906119481,1377.9934150406878","1355.2677778679442,1355.6714093880512,1358.1085849593117",17.64516822431264,
24,2020-04-24 09:15:00,1350.2,1366.05,1350.0,1356.2,619006,50.70525045647985,1369.6085714285716,-11.759893614144488,1378.6764206693827,1367.8009999999997,1356.9255793306168,1.0,-1.0,"1378.7805906119481,1377.9934150406878,1378.6764206693827","1355.6714093880512,1358.1085849593117,1356.9255793306168",28.683933473268922,divergence
23,2020-04-24 09:30:00,1356.35,1368.95,1353.89,1367.1,814585,57.147475675549224,1368.6371428571433,6.442225219069371,1378.5816953124465,1368.0634999999997,1357.545304687553,-0.0,1.0,"1377.9934150406878,1378.6764206693827,1378.5816953124465","1358.1085849593117,1356.9255793306168,1357.545304687553",14.567861849277762,
22,2020-04-24 09:45:00,1367.0,1378.0,1365.25,1375.5,1212854,61.34051360248628,1369.5157142857147,4.193037926937059,1379.5124889115475,1368.5384999999997,1357.5645110884518,1.0,0.0,"1378.6764206693827,1378.5816953124465,1379.5124889115475","1356.9255793306168,1357.545304687553,1357.5645110884518",9.118755918880282,
21,2020-04-24 10:00:00,1375.5,1376.85,1368.1,1374.3,785821,60.43081510766474,1369.6142857142859,-0.9096984948215407,1380.0680416120792,1368.7959999999996,1357.52395838792,1.0,-0.0,"1378.5816953124465,1379.5124889115475,1380.0680416120792","1357.545304687553,1357.5645110884518,1357.52395838792",2.2989726358153177,
20,2020-04-24 10:15:00,1374.8,1383.1,1373.1,1378.0,788822,62.287917073390446,1370.3571428571431,1.857101965725704,1381.105793358574,1369.5959999999995,1358.0862066414252,1.0,1.0,"1379.5124889115475,1380.0680416120792,1381.105793358574","1357.5645110884518,1357.52395838792,1358.0862066414252",6.01580901424316,
